#Best shifts are: 0.4375 1.0
#Best energy: -477.98688
#Best expansion: 0.0
#    x_shift     y_shift      completion   expansion              E_best     equivalence
         0.0         0.0         Success         0.0       -477.57452531     Not checked
         0.0      0.0625         Success         0.5       -477.30032714     Not checked
         0.0       0.125         Success         0.5       -477.04215959     Not checked
         0.0      0.1875         Success         0.5       -475.46362875     Not checked
         0.0        0.25         Success         0.5       -475.90466835     Not checked
         0.0      0.3125         Success         0.0       -477.49390774     Not checked
         0.0       0.375         Success         0.5       -477.58358091     Not checked
         0.0      0.4375         Success         0.5         -476.772961     Not checked
         0.0         0.5         Success         0.5       -476.02045959     Not checked
         0.0      0.5625         Success         0.5       -475.14364014     Not checked
         0.0       0.625         Success         0.0       -477.11299411     Not checked
         0.0      0.6875         Success         0.0        -477.6072967     Not checked
         0.0        0.75         Success         0.5       -477.17131379     Not checked
         0.0      0.8125         Success         0.5       -476.09216445     Not checked
         0.0       0.875         Success         0.5       -475.39617415     Not checked
         0.0      0.9375         Success         0.0       -476.47452988     Not checked
         0.0         1.0         Success         0.0       -477.57915205     Not checked

      0.0625         0.0         Success         0.0       -477.91566157     Not checked
      0.0625      0.0625         Success         0.5       -476.88920904     Not checked
      0.0625       0.125         Success         0.5       -476.87248653     Not checked
      0.0625      0.1875         Success         0.5       -475.39360032     Not checked
      0.0625        0.25         Success         0.5       -476.01512119     Not checked
      0.0625      0.3125         Success         0.0       -477.75641443     Not checked
      0.0625       0.375         Success         0.5       -477.20368637     Not checked
      0.0625      0.4375         Success         0.5         -477.092032     Not checked
      0.0625         0.5         Success         0.5       -475.64667733     Not checked
      0.0625      0.5625         Success         0.5       -475.38273506     Not checked
      0.0625       0.625         Success         0.0       -477.24067117     Not checked
      0.0625      0.6875         Success         0.5       -477.61103906     Not checked
      0.0625        0.75         Success         0.5       -476.61077953     Not checked
      0.0625      0.8125         Success         0.5       -476.42222001     Not checked
      0.0625       0.875         Success         0.5       -475.93377135     Not checked
      0.0625      0.9375         Success         0.0        -476.4307217     Not checked
      0.0625         1.0         Success         0.0       -477.98460822     Not checked

       0.125         0.0         Success         0.0       -477.91960641     Not checked
       0.125      0.0625         Success         0.5        -477.3216099     Not checked
       0.125       0.125         Success         0.5       -476.57618156     Not checked
       0.125      0.1875         Success         0.5       -475.37116094     Not checked
       0.125        0.25         Success         0.5       -475.73028874     Not checked
       0.125      0.3125         Success         0.0       -477.75060308     Not checked
       0.125       0.375         Success         0.0       -477.50195522     Not checked
       0.125      0.4375         Success         0.5       -476.44001319     Not checked
       0.125         0.5         Success         0.5       -475.79742547     Not checked
       0.125      0.5625         Success         0.5        -475.0977723     Not checked
       0.125       0.625         Success         0.5       -477.25680676     Not checked
       0.125      0.6875         Success         0.0       -477.85576482     Not checked
       0.125        0.75         Success         0.5       -476.86797128     Not checked
       0.125      0.8125         Success         0.5       -475.84391054     Not checked
       0.125       0.875         Success         0.5        -475.0123412     Not checked
       0.125      0.9375         Success         0.5       -476.60213047     Not checked
       0.125         1.0         Success         0.0       -477.89442497     Not checked

      0.1875         0.0         Success         0.0       -477.81206551     Not checked
      0.1875      0.0625         Success         0.5       -477.05769312     Not checked
      0.1875       0.125         Success         0.5       -477.02456783     Not checked
      0.1875      0.1875         Success         0.5       -475.56910641     Not checked
      0.1875        0.25         Success         0.5       -476.01512119     Not checked
      0.1875      0.3125         Success         0.0       -477.43822844     Not checked
      0.1875       0.375         Success         0.5       -477.58811098     Not checked
      0.1875      0.4375         Success         0.5       -477.10931992     Not checked
      0.1875         0.5         Success         0.5       -476.07425754     Not checked
      0.1875      0.5625         Success         0.5       -475.28152347     Not checked
      0.1875       0.625         Success         0.0       -476.93426198     Not checked
      0.1875      0.6875         Success         0.0        -477.8566822     Not checked
      0.1875        0.75         Success         0.5       -476.49662116     Not checked
      0.1875      0.8125         Success         0.5       -476.46762326     Not checked
      0.1875       0.875         Success         0.5       -475.69794066     Not checked
      0.1875      0.9375         Success         0.5       -476.49991669     Not checked
      0.1875         1.0         Success         0.0       -477.81206551     Not checked

        0.25         0.0         Success         0.5       -477.56813336     Not checked
        0.25      0.0625         Success         0.5       -477.34112978     Not checked
        0.25       0.125         Success         0.5       -476.49832956     Not checked
        0.25      0.1875         Success         0.5       -475.91652634     Not checked
        0.25        0.25         Success         0.5       -475.89927566     Not checked
