#Optimal shifts are: 0.42138 1.02807
#Optimal energy: -478.48635
#Optimal expansion: 0.22569
#    x_shift     y_shift      completion   expansion         E_optimised     equivalence
         0.0         0.0         Success     0.22327       -477.91304901     Not checked
         0.0      0.0625         Success     0.34537       -477.41311814     Not checked
         0.0       0.125         Success     0.58936       -477.10022531     Not checked
         0.0      0.1875         Success     0.61865       -475.55131867     Not checked
         0.0        0.25         Success     0.34286       -476.01508553     Not checked
         0.0      0.3125         Success     0.21189       -477.81596158     Not checked
         0.0       0.375         Success     0.27388       -477.83657637     Not checked
         0.0      0.4375         Success     0.48492       -476.77416689     Not checked
         0.0         0.5         Success     0.60927       -476.08150084     Not checked
         0.0      0.5625         Success     0.52953       -475.14615294     Not checked
         0.0       0.625         Success     0.24494        -477.4984851     Not checked
         0.0      0.6875         Success     0.24593       -478.03903752     Not checked
         0.0        0.75         Success     0.36263       -477.27240154     Not checked
         0.0      0.8125         Success     0.57832       -476.11790698     Not checked
         0.0       0.875         Success     0.57521       -475.43247637     Not checked
         0.0      0.9375         Success     0.24217       -476.86239456     Not checked
         0.0         1.0         Success     0.22441        -477.9200605     Not checked

      0.0625         0.0         Success     0.24076       -478.33078112     Not checked
      0.0625      0.0625         Success     0.29132       -476.96915971     Not checked
      0.0625       0.125         Success     0.55928       -476.89054505     Not checked
      0.0625      0.1875         Success     0.69237       -475.56753278     Not checked
      0.0625        0.25         Success     0.39105       -476.06745754     Not checked
      0.0625      0.3125         Success      0.2344        -478.1191281     Not checked
      0.0625       0.375         Success     0.25263       -477.41259586     Not checked
      0.0625      0.4375         Success     0.50016       -477.09203216     Not checked
      0.0625         0.5         Success     0.60563       -475.70884496     Not checked
      0.0625      0.5625         Success     0.51799       -475.38370523     Not checked
      0.0625       0.625         Success     0.24553       -477.63188211     Not checked
      0.0625      0.6875         Success     0.28469       -477.83999397     Not checked
      0.0625        0.75         Success     0.39222       -476.64682847     Not checked
      0.0625      0.8125         Success     0.58177       -476.46549815     Not checked
      0.0625       0.875         Success     0.57549       -475.97119006     Not checked
      0.0625      0.9375         Success     0.24876         -476.829894     Not checked
      0.0625         1.0         Success     0.23206       -478.39025583     Not checked

       0.125         0.0         Success      0.2285       -478.26728309     Not checked
       0.125      0.0625         Success     0.32288       -477.49784356     Not checked
       0.125       0.125         Success      0.4927         -476.576528     Not checked
       0.125      0.1875         Success     0.62509        -475.4639162     Not checked
       0.125        0.25         Success     0.32561       -475.84157042     Not checked
       0.125      0.3125         Success     0.18609        -478.0040759     Not checked
       0.125       0.375         Success     0.24826       -477.99948729     Not checked
       0.125      0.4375         Success     0.39842       -476.48805977     Not checked
       0.125         0.5         Success     0.64074       -475.89416009     Not checked
       0.125      0.5625         Success     0.49374       -475.09790974     Not checked
       0.125       0.625         Success     0.26741       -477.52725843     Not checked
       0.125      0.6875         Success     0.22817        -478.2195447     Not checked
       0.125        0.75         Success     0.32562       -477.01612641     Not checked
       0.125      0.8125         Success     0.61688       -475.89125642     Not checked
       0.125       0.875         Success     0.60284        -475.0583567     Not checked
       0.125      0.9375         Success     0.26739       -476.85803603     Not checked
       0.125         1.0         Success     0.23255       -478.24869131     Not checked

      0.1875         0.0         Success      0.2175       -478.13632188     Not checked
      0.1875      0.0625         Success     0.33165         -477.168651     Not checked
