#    x_shift     y_shift   expansion         E_unrelaxed           E_relaxed
         0.0         0.0        -1.0       -421.03237127       -467.05018483
         0.0         0.0        -0.5        -449.3287498       -474.36062104
         0.0         0.0         0.0       -461.99785976       -477.57452531
         0.0         0.0         0.5       -465.57850973       -477.39301652
         0.0         0.0         1.0       -464.79888513       -474.89825149
         0.0         0.0         1.5       -462.23027995       -470.92872169
         0.0         0.0         2.0       -458.57098223       -467.54031581
         0.0      0.0625        -1.0       -406.06573477       -465.49161792
         0.0      0.0625        -0.5       -445.11991746       -473.45390821
         0.0      0.0625         0.0       -463.49974766       -476.85042244
         0.0      0.0625         0.5       -468.90178457       -477.30032714
         0.0      0.0625         1.0       -468.18604476        -475.3915521
         0.0      0.0625         1.5       -465.21802144       -472.37554505
         0.0      0.0625         2.0       -460.97634967       -468.00980003
         0.0       0.125        -1.0       -377.85260461       -461.53215172
         0.0       0.125        -0.5       -426.36594793       -469.95720446
         0.0       0.125         0.0       -451.71774011       -474.57458612
         0.0       0.125         0.5       -461.44751957       -477.04215959
         0.0       0.125         1.0       -463.06358257       -475.87413554
         0.0       0.125         1.5        -461.2793549       -472.93917797
         0.0       0.125         2.0        -458.2465062       -469.85243305
         0.0      0.1875        -1.0       -358.64258076       -461.09990128
         0.0      0.1875        -0.5       -403.86601626       -468.82208006
         0.0      0.1875         0.0        -432.0926582       -473.16721327
         0.0      0.1875         0.5        -447.7307063       -475.46362875
         0.0      0.1875         1.0       -454.40556499       -474.64538563
         0.0      0.1875         1.5       -455.54708743       -472.15044597
         0.0      0.1875         2.0       -454.47461673       -469.88324091
         0.0        0.25        -1.0       -373.21802103       -465.17681173
         0.0        0.25        -0.5       -409.82149832        -472.1907432
         0.0        0.25         0.0       -433.87122092        -475.4894817
         0.0        0.25         0.5       -448.13753791       -475.90466835
         0.0        0.25         1.0       -454.37610646       -474.08418899
         0.0        0.25         1.5       -455.37761082       -470.90263141
         0.0        0.25         2.0       -454.20159605       -467.25140438
         0.0      0.3125        -1.0       -416.07442226       -467.09100251
         0.0      0.3125        -0.5       -443.55873631       -474.18076658
         0.0      0.3125         0.0       -457.09099975       -477.49390774
         0.0      0.3125         0.5       -462.04812224       -477.22055956
         0.0      0.3125         1.0       -462.30225249        -474.8779136
         0.0      0.3125         1.5       -460.32923974       -471.25624226
         0.0      0.3125         2.0       -457.21940067       -468.52798291
         0.0       0.375        -1.0       -414.94374484       -466.30030255
         0.0       0.375        -0.5       -449.32096423       -474.12266643
         0.0       0.375         0.0       -464.82932051       -477.46540934
         0.0       0.375         0.5       -468.97599094       -477.58358091
         0.0       0.375         1.0       -467.91812775       -475.22767989
         0.0       0.375         1.5       -464.92584121       -472.00354297
         0.0       0.375         2.0       -460.68434406       -468.38078963
         0.0      0.4375        -1.0        -385.9207132       -462.55751828
         0.0      0.4375        -0.5       -433.16039176        -471.2355271
         0.0      0.4375         0.0       -456.92477122       -475.52750645
         0.0      0.4375         0.5       -465.15613665         -476.772961
         0.0      0.4375         1.0        -465.6708268       -475.36759137
         0.0      0.4375         1.5       -463.23686378       -472.41393664
         0.0      0.4375         2.0       -459.61040119       -468.88869983
         0.0         0.5        -1.0       -365.05649712        -461.5532868
         0.0         0.5        -0.5       -411.18369154       -468.33627362
         0.0         0.5         0.0       -438.35400985       -474.18363316
         0.0         0.5         0.5       -451.93447475       -476.02045959
         0.0         0.5         1.0         -456.888666       -475.30092749
         0.0         0.5         1.5       -457.08388748       -472.12783195
         0.0         0.5         2.0       -455.45502103        -469.7196268
         0.0      0.5625        -1.0       -358.98623192       -463.83934719
         0.0      0.5625        -0.5       -401.35695494       -470.78758272
         0.0      0.5625         0.0       -428.93708524       -474.33807137
         0.0      0.5625         0.5       -445.45772778       -475.14364014
         0.0      0.5625         1.0       -453.03595317       -474.50826662
         0.0      0.5625         1.5       -454.67415603       -470.96668472
         0.0      0.5625         2.0       -453.85524905       -467.28108531
         0.0       0.625        -1.0       -405.61624284       -466.80085294
         0.0       0.625        -0.5       -433.99519771       -473.93279206
         0.0       0.625         0.0       -449.97589381       -477.11299411
         0.0       0.625         0.5       -457.51104436       -477.08046355
         0.0       0.625         1.0       -459.48459473       -474.69758246
         0.0       0.625         1.5       -458.40489076       -471.11558282
         0.0       0.625         2.0       -455.95697379       -468.06871323
         0.0      0.6875        -1.0       -420.40994935        -466.8822079
         0.0      0.6875        -0.5       -451.05962468       -474.06720549
         0.0      0.6875         0.0       -464.48442941        -477.6072967
         0.0      0.6875         0.5       -467.88675105       -477.57826017
         0.0      0.6875         1.0       -466.73451745        -475.1013059
         0.0      0.6875         1.5       -463.85336503        -471.1772341
         0.0      0.6875         2.0        -459.8096904       -467.60981638
         0.0        0.75        -1.0       -395.72567083       -463.99249455
         0.0        0.75        -0.5       -439.49330866       -472.27275415
         0.0        0.75         0.0       -460.83888669       -476.56792877
         0.0        0.75         0.5       -467.65087515       -477.17131379
         0.0        0.75         1.0       -467.43415479       -475.09614288
         0.0        0.75         1.5       -464.62917852       -472.32285143
         0.0        0.75         2.0       -460.59273392       -469.38401389
         0.0      0.8125        -1.0       -371.28505252       -459.98568018
         0.0      0.8125        -0.5        -419.0106021       -468.44047596
         0.0      0.8125         0.0       -445.32915118       -474.71420514
         0.0      0.8125         0.5       -456.82767724       -476.09216445
         0.0      0.8125         1.0       -459.96651367       -475.37160162
         0.0      0.8125         1.5       -459.10337552       -472.76622686
         0.0      0.8125         2.0       -456.77583628        -469.6175739
         0.0       0.875        -1.0       -354.56964355        -462.1028569
         0.0       0.875        -0.5       -399.55010694       -469.50288456
         0.0       0.875         0.0        -428.4058403        -473.3088191
         0.0       0.875         0.5       -445.31672352       -475.39617415
         0.0       0.875         1.0       -453.02704927       -474.27423864
         0.0       0.875         1.5       -454.71517527       -471.05101357
         0.0       0.875         2.0        -453.9352152       -467.30882135
         0.0      0.9375        -1.0       -390.56973839       -466.15607209
         0.0      0.9375        -0.5       -421.92161425       -473.21945393
         0.0      0.9375         0.0       -441.63151899       -476.47452988
         0.0      0.9375         0.5       -452.54316432       -476.42272844
         0.0      0.9375         1.0       -456.68938287       -474.49662581
         0.0      0.9375         1.5       -456.68441487       -470.77751625
         0.0      0.9375         2.0       -454.92183115       -468.10175468
         0.0         1.0        -1.0       -421.03237127       -466.98362904
         0.0         1.0        -0.5        -449.3287498       -474.36755743
         0.0         1.0         0.0       -461.99785976       -477.57915205
         0.0         1.0         0.5       -465.57850973       -477.40588376
         0.0         1.0         1.0       -464.79888513       -474.89611438
         0.0         1.0         1.5       -462.23027995       -471.01827163
         0.0         1.0         2.0       -458.57098223       -468.46517519
      0.0625         0.0        -1.0       -418.02962964       -467.28089441
      0.0625         0.0        -0.5       -447.57376635       -474.40103775
      0.0625         0.0         0.0       -460.89206085       -477.91566157
      0.0625         0.0         0.5       -464.89283557       -477.84947458
      0.0625         0.0         1.0       -464.45393773       -475.15224008
      0.0625         0.0         1.5       -462.16304694       -470.99368002
      0.0625         0.0         2.0       -458.67510577       -468.64613906
      0.0625      0.0625        -1.0       -407.84385733       -465.02534541
      0.0625      0.0625        -0.5       -446.04145334       -473.19541453
      0.0625      0.0625         0.0       -463.85905116       -476.81335891
      0.0625      0.0625         0.5       -469.00105861       -476.88920904
      0.0625      0.0625         1.0       -468.23373924        -476.0471236
      0.0625      0.0625         1.5       -465.31397471       -472.90843154
