#    x_shift     y_shift   expansion         E_unrelaxed  E_relaxed (ignore)
         0.0         0.0         0.0       -421.03237127       -467.05018483
         0.0      0.0625         0.0       -406.06573477       -465.49161792
         0.0       0.125         0.0       -377.85260461       -461.53215172
         0.0      0.1875         0.0       -358.64258076       -461.09990128
         0.0        0.25         0.0       -373.21802103       -465.17681173
         0.0      0.3125         0.0       -416.07442226       -467.09100251
         0.0       0.375         0.0       -414.94374484       -466.30030255
         0.0      0.4375         0.0        -385.9207132       -462.55751828
         0.0         0.5         0.0       -365.05649712        -461.5532868
         0.0      0.5625         0.0       -358.98623192       -463.83934719
         0.0       0.625         0.0       -405.61624284       -466.80085294
         0.0      0.6875         0.0       -420.40994935        -466.8822079
         0.0        0.75         0.0       -395.72567083       -463.99249455
         0.0      0.8125         0.0       -371.28505252       -459.98568018
         0.0       0.875         0.0       -354.56964355        -462.1028569
         0.0      0.9375         0.0       -390.56973839       -466.15607209
         0.0         1.0         0.0       -421.03237127       -466.98362904

      0.0625         0.0         0.0       -418.02962964       -467.28089441
      0.0625      0.0625         0.0       -407.84385733       -465.02534541
      0.0625       0.125         0.0       -375.20941903       -461.02670098
      0.0625      0.1875         0.0       -364.48163791       -461.03880592
      0.0625        0.25         0.0       -380.17607874       -465.25986959
      0.0625      0.3125         0.0       -412.13591287       -467.29899106
      0.0625       0.375         0.0       -415.42030416       -466.15298048
      0.0625      0.4375         0.0       -385.92076566       -462.51156079
      0.0625         0.5         0.0       -364.11337093       -459.79745255
      0.0625      0.5625         0.0       -372.63987199       -464.02213438
      0.0625       0.625         0.0       -402.23810425       -466.87956756
      0.0625      0.6875         0.0       -419.07093987         -466.692728
      0.0625        0.75         0.0        -397.4802214       -463.84319078
      0.0625      0.8125         0.0       -367.53364804       -459.91972996
      0.0625       0.875         0.0       -367.52673241       -462.49980019
      0.0625      0.9375         0.0       -390.56973422       -466.15607209
      0.0625         1.0         0.0       -418.02962964       -467.32826734

       0.125         0.0         0.0       -419.27253616       -467.35445675
       0.125      0.0625         0.0       -405.32352198       -465.32718993
       0.125       0.125         0.0         -372.464535       -461.69322837
       0.125      0.1875         0.0        -360.6054008        -461.9898191
       0.125        0.25         0.0        -361.0060274       -465.14947703
       0.125      0.3125         0.0       -412.13599014       -467.31046124
       0.125       0.375         0.0       -414.94383041       -466.38024919
       0.125      0.4375         0.0        -381.3291615       -462.52973338
       0.125         0.5         0.0       -364.59878514       -459.90778031
       0.125      0.5625         0.0       -351.48914609       -463.76437474
       0.125       0.625         0.0       -398.71619835       -466.84027529
       0.125      0.6875         0.0       -420.02121876        -467.0508471
       0.125        0.75         0.0       -393.20330137       -463.88338399
       0.125      0.8125         0.0       -367.53367009       -460.44428646
       0.125       0.875         0.0       -354.56969414       -462.10289027
       0.125      0.9375         0.0       -380.16476201       -466.20536468
       0.125         1.0         0.0       -419.27253616       -467.28274344

      0.1875         0.0         0.0        -420.5161081       -467.17697099
      0.1875      0.0625         0.0       -407.10863777       -465.28593994
      0.1875       0.125         0.0       -378.91793913       -461.15957862
      0.1875      0.1875         0.0       -360.60535502        -460.6935023
      0.1875        0.25         0.0       -380.17607011       -465.25986959
      0.1875      0.3125         0.0       -416.07440466       -467.07597483
